---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Usuário    |TMv|Cen.|Dep.|Material  |Texto breve material                    |Tp.aval. |Lote      |Elemento PEP      |Doc.mat.  |Data lçto.| Quantidade|Pedido    |Referência      |Texto cab.documento      | Nºreser.|DiagRede  |  Montante MI|
| BM3L       |101|2096|    |          |ANODO DE ALUMINIO #25 X 100 X120        |         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |      320,00 |
| BM3L       |101|2096|    |          |ARRUELA INOX LISA 06MM 304              |         |          |                  |5043354359|10.01.2026|           |4514897237|142034-001      |                         |         |          |        3,08 |
| BM3L       |101|2096|    |          |ARRUELA LISA INOX M16                   |         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |       67,69 |
| BM3L       |101|2096|    |          |ARRUELA LISA INOX M16                   |         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |      147,69 |
| BM3L       |101|2096|    |          |CONEXÃO MACHO AÇO INOX. DUPLA ANILHA 1/4|         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |    1.030,07 |
| BM3L       |101|2096|    |          |CONTRAPORCA SEXTAVADA INOX LEVE M10X1.5 |         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |       61,54 |
| BM3L       |101|2096|    |          |COTOVELO MACHO AÇO INOX, DUPLA ANILHA 1/|         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |    1.968,12 |
| BM3L       |101|2096|    |          |F1-025-M-000 MOTOR HIDR VOAC DS-3781724 |         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |   12.287,18 |
| BM3L       |101|2096|    |          |LINGA ULTRA 1 - 5/8 6X25 AACI POLIDO X 1|         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |      308,63 |
| BM3L       |101|2096|    |          |MANGUEIRA HIDRAULICA 1/2POL JIC 12 X 3 M|         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |      829,06 |
| BM3L       |101|2096|    |          |MANGUEIRA P/ TRANSPORTE FLUIDO VAPOR SAT|         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |    2.158,29 |
| BM3L       |101|2096|    |          |MANGUEIRA P/ TRANSPORTE FLUIDO VAPOR SAT|         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |    2.621,20 |
| BM3L       |101|2096|    |          |MANILHA CURVA DN 1 - PPC                |         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |      414,49 |
| BM3L       |101|2096|    |          |MANILHA CURVA DN 1 ALLOY GRAU 08 PINO, P|         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |      844,19 |
| BM3L       |101|2096|    |          |NIPLE INOX JIC 12 X 3/4 POL NPT         |         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |      320,37 |
| BM3L       |101|2096|    |          |NIPLE NINOC JIC 8 X 1/2 POL NPT         |         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |      205,05 |
| BM3L       |101|2096|    |          |PARAF SEXT INOX 5/8 X 3' '              |         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |      275,62 |
| BM3L       |101|2096|    |          |PARAF SEXT M16 X 65                     |         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |      170,87 |
| BM3L       |101|2096|    |          |PORCA SEXT M16                          |         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |       40,61 |
| BM3L       |101|2096|    |          |PORCA SEXTA. 5/8 X 11 UNC INOX AISI 316 |         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |       62,97 |
| BM3L       |101|2096|    |          |SERRA COPO 201141 95MM POWER MAX55 COMPL|         |          |                  |5043354359|10.01.2026|           |4514897237|142034-001      |                         |         |          |    7.986,84 |
| BM3L       |101|2096|    |          |VALVULA PP POL 1POL NPT FEMEA - 3000 PSI|         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |    5.389,64 |
| BM3L       |101|2096|    |          |VÁLVULA DE RETENÇÃO TIPO POPPET AÇO INOX|         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |    7.286,21 |
| BM3L       |101|2096|    |          |VÁLVULA DE RETENÇÃO TIPO POPPET EM AÇO I|         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |    3.178,59 |
| KEE8       |Y21|2096|F1VB|10.006.210|Junta anel BX-155 AI-316                |CONS/NAC |CONS/NAC  |                  |4904241983|09.01.2026|         1 |          |002936007-1     |BALSA TRAMOS E MONT771   |         |          |        0,00 |
| KEE8       |Y21|2096|0777|10.006.210|Junta anel BX-155 AI-316                |CONS/NAC |CONS/NAC  |                  |4904241983|09.01.2026|         1-|          |002936007-1     |BALSA TRAMOS E MONT771   |         |          |        0,00 |
| KEE8       |311|2096|0777|10.006.210|Junta anel BX-155 AI-316                |CONS/NAC |CONS/NAC  |                  |4904241982|09.01.2026|         1 |          |2930340         |BALSA TRAMOS E MONT771   |         |          |        0,00 |
| KEE8       |311|2096|M0NV|10.006.210|Junta anel BX-155 AI-316                |CONS/NAC |CONS/NAC  |                  |4904241982|09.01.2026|         1-|          |2930340         |BALSA TRAMOS E MONT771   |         |          |        0,00 |
| KEE8       |311|2096|M0NV|10.006.210|Junta anel BX-155 AI-316                |CONS/NAC |CONS/NAC  |                  |4904234294|09.01.2026|         1-|          |2930340-2918    |LO090 BALSA TRM 771      |         |          |        0,00 |
| KEE8       |311|2096|0777|10.006.210|Junta anel BX-155 AI-316                |CONS/NAC |CONS/NAC  |                  |4904234294|09.01.2026|         1 |          |2930340-2918    |LO090 BALSA TRM 771      |         |          |        0,00 |
| L1SG       |281|2096|M001|10.006.210|Junta anel BX-155 AI-316                |USADO    |USADO     |                  |4904189435|06.01.2026|         1-|          |                |                         |         |1001455154|        0,97-|
| DMSD       |Y21|2096|F4OC|10.006.210|Junta anel BX-155 AI-316                |USADO    |USADO     |                  |4904123919|02.01.2026|         2 |          |002933928-1     |                         |127844042|          |        0,00 |
| DMSD       |Y21|2096|M001|10.006.210|Junta anel BX-155 AI-316                |USADO    |USADO     |                  |4904123919|02.01.2026|         2-|          |002933928-1     |                         |127844042|          |        0,00 |
| F30B       |Y21|2096|F1UB|10.012.689|Paraf. estojo A193-B7 1 1/2"-8 x17 1/2" |USADO    |USADO     |                  |4904221064|08.01.2026|        16 |          |002935618-1     |GEM 174/2025             |         |          |        0,00 |
| F30B       |202|2096|0777|10.012.689|Paraf. estojo A193-B7 1 1/2"-8 x17 1/2" |USADO    |USADO     |                  |4904220196|08.01.2026|        16 |          |XPE0106949      |GEM 174/2025             |         |          |       16,00 |
| F30B       |Y21|2096|0777|10.012.689|Paraf. estojo A193-B7 1 1/2"-8 x17 1/2" |USADO    |USADO     |                  |4904221064|08.01.2026|        16-|          |002935618-1     |GEM 174/2025             |         |          |        0,00 |
| F30B       |Y22|2096|0777|10.012.689|Paraf. estojo A193-B7 1 1/2"-8 x17 1/2" |USADO    |USADO     |                  |4904220725|08.01.2026|        16-|          |                |GEM 174/2025             |         |          |        0,00 |
| R7YE       |311|2096|F1UB|10.012.689|Paraf. estojo A193-B7 1 1/2"-8 x17 1/2" |USADO    |USADO     |                  |4904218756|08.01.2026|        16-|          |002933972-1     |GEM BAÇU SKOL 174/2025   |         |          |        0,00 |
| R7YE       |311|2096|0777|10.012.689|Paraf. estojo A193-B7 1 1/2"-8 x17 1/2" |USADO    |USADO     |                  |4904218756|08.01.2026|        16 |          |002933972-1     |GEM BAÇU SKOL 174/2025   |         |          |        0,00 |
| F30B       |Y22|2096|0777|10.012.689|Paraf. estojo A193-B7 1 1/2"-8 x17 1/2" |USADO    |USADO     |                  |4904220725|08.01.2026|        16 |          |                |GEM 174/2025             |         |          |        0,00 |
| F30B       |Y21|2096|0777|10.012.689|Paraf. estojo A193-B7 1 1/2"-8 x17 1/2" |USADO    |USADO     |                  |4904220294|08.01.2026|        16-|          |                |GEM 174/2025             |         |          |        0,00 |
| F30B       |Y21|2096|0777|10.012.689|Paraf. estojo A193-B7 1 1/2"-8 x17 1/2" |USADO    |USADO     |                  |4904220294|08.01.2026|        16 |          |                |GEM 174/2025             |         |          |        0,00 |
| R7YE       |201|2096|0777|10.012.689|Paraf. estojo A193-B7 1 1/2"-8 x17 1/2" |USADO    |USADO     |                  |4904218757|06.01.2026|        16-|          |XPE0106949      |GEM BAÇU SKOL 174/2025   |         |          |       16,00-|
| SYL1       |201|2096|0777|10.012.689|Paraf. estojo A193-B7 1 1/2"-8 x17 1/2" |USADO    |USADO     |                  |4904157242|05.01.2026|        16-|          |                |XPE0106458 ACERTO FISCAL |         |          |       16,00-|
| SYL1       |311|2096|0777|10.012.689|Paraf. estojo A193-B7 1 1/2"-8 x17 1/2" |USADO    |USADO     |                  |4904156635|05.01.2026|        16 |          |002920651-1     |SRIO-03-063/25 ACERTO    |         |          |        0,00 |
| SYL1       |311|2096|F1VB|10.012.689|Paraf. estojo A193-B7 1 1/2"-8 x17 1/2" |USADO    |USADO     |                  |4904156635|05.01.2026|        16-|          |002920651-1     |SRIO-03-063/25 ACERTO    |         |          |        0,00 |
| F30B       |Y21|2096|F1UB|10.012.689|Paraf. estojo A193-B7 1 1/2"-8 x17 1/2" |USADO    |USADO     |                  |4904127755|02.01.2026|        16 |          |002933972-1     |GEM BAÇU SKOL 174/2025   |         |          |        0,00 |
| F30B       |Y21|2096|0777|10.012.689|Paraf. estojo A193-B7 1 1/2"-8 x17 1/2" |USADO    |USADO     |                  |4904127755|02.01.2026|        16-|          |002933972-1     |GEM BAÇU SKOL 174/2025   |         |          |        0,00 |
| R7YE       |311|2929|M0UB|10.047.876|Abraçad. reg. paraf sem-fim AISI 304 14 |USADO    |USADO     |                  |4904178042|06.01.2026|        18-|          |000003228-1     |XPE0103432               |         |          |        0,00 |
| R7YE       |311|2929|0777|10.047.876|Abraçad. reg. paraf sem-fim AISI 304 14 |USADO    |USADO     |                  |4904178042|06.01.2026|        18 |          |000003228-1     |XPE0103432               |         |          |        0,00 |
| R7YE       |201|2929|0777|10.047.876|Abraçad. reg. paraf sem-fim AISI 304 14 |USADO    |USADO     |                  |4904178044|06.01.2026|        18-|          |000003228-1     |XPE0103432               |         |          |       18,00-|
| KEE8       |311|2096|M0NV|10.087.524|Junta anel BX-156 AI-316                |CONS/IAMN|CONS/IAMN |                  |4904248601|10.01.2026|         1-|          |2850601  2915   |BALSA TRAMOS E MONT768   |         |          |        0,00 |
| KEE8       |311|2096|0777|10.087.524|Junta anel BX-156 AI-316                |CONS/IAMN|CONS/IAMN |                  |4904248601|10.01.2026|         1 |          |2850601  2915   |BALSA TRAMOS E MONT768   |         |          |        0,00 |
| KEE8       |Y21|2096|F1VB|10.087.524|Junta anel BX-156 AI-316                |CONS/IAMN|CONS/IAMN |                  |4904248602|10.01.2026|         1 |          |002936247-1     |BALSA TRAMOS E MONT768   |         |          |        0,00 |
| KEE8       |Y21|2096|0777|10.087.524|Junta anel BX-156 AI-316                |CONS/IAMN|CONS/IAMN |                  |4904248602|10.01.2026|         1-|          |002936247-1     |BALSA TRAMOS E MONT768   |         |          |        0,00 |
| SYL1       |Y21|2096|0777|10.087.524|Junta anel BX-156 AI-316                |CONS/IAMN|CONS/IAMN |                  |4904242198|09.01.2026|         1-|          |002936014-1     |NF 2811008-2911          |         |          |        0,00 |
| SYL1       |311|2096|0777|10.087.524|Junta anel BX-156 AI-316                |CONS/IAMN|CONS/IAMN |                  |4904241439|09.01.2026|         1 |          |NF2811008-2911  |6000796973               |         |          |        0,00 |
| FFMT       |Y23|2096|F4OC|10.087.524|Junta anel BX-156 AI-316                |CONS/NAC |CONS/NAC  |                  |4904239818|09.01.2026|         1-|          |141906-001      |002891885                |127847727|          |        0,00 |
| SYL1       |Y21|2096|F1VB|10.087.524|Junta anel BX-156 AI-316                |CONS/IAMN|CONS/IAMN |                  |4904242198|09.01.2026|         1 |          |002936014-1     |NF 2811008-2911          |         |          |        0,00 |
| SYL1       |311|2096|M0NV|10.087.524|Junta anel BX-156 AI-316                |CONS/IAMN|CONS/IAMN |                  |4904240749|09.01.2026|         2-|          |NF2850601-2913  |LO090BALSA TRAMOS E MONTA|         |          |        0,00 |
| SYL1       |311|2096|0777|10.087.524|Junta anel BX-156 AI-316                |CONS/IAMN|CONS/IAMN |                  |4904240749|09.01.2026|         2 |          |NF2850601-2913  |LO090BALSA TRAMOS E MONTA|         |          |        0,00 |
| SYL1       |311|2096|M0NV|10.087.524|Junta anel BX-156 AI-316                |CONS/IAMN|CONS/IAMN |                  |4904241439|09.01.2026|         1-|          |NF2811008-2911  |6000796973               |         |          |        0,00 |
| SYL1       |Y21|2096|F1VB|10.087.524|Junta anel BX-156 AI-316                |CONS/IAMN|CONS/IAMN |                  |4904241146|09.01.2026|         2 |          |002936016-1     |NF 2850601-2913          |         |          |        0,00 |
| SYL1       |Y21|2096|0777|10.087.524|Junta anel BX-156 AI-316                |CONS/IAMN|CONS/IAMN |                  |4904241146|09.01.2026|         2-|          |002936016-1     |NF 2850601-2913          |         |          |        0,00 |
| FFMT       |Y23|2096|M001|10.087.524|Junta anel BX-156 AI-316                |CONS/NAC |CONS/NAC  |                  |4904239818|09.01.2026|         1 |          |141906-001      |002891885                |127847727|          |        0,00 |
| DMSD       |Y21|2096|M001|10.087.524|Junta anel BX-156 AI-316                |USADO    |USADO     |                  |4904209922|07.01.2026|         1-|          |002935331-1     |                         |127928086|          |        0,00 |
| DMSD       |Y21|2096|F4OC|10.087.524|Junta anel BX-156 AI-316                |USADO    |USADO     |                  |4904209922|07.01.2026|         1 |          |002935331-1     |                         |127928086|          |        0,00 |
| L1SG       |281|2096|M001|10.087.524|Junta anel BX-156 AI-316                |CONS/NAC |CONS/NAC  |                  |4904202544|07.01.2026|         1-|          |                |                         |         |1001491454|      534,78-|
| EWPF       |201|2096|M0TC|10.087.524|Junta anel BX-156 AI-316                |CONS/NAC |CONS/NAC  |                  |4904200291|07.01.2026|         1-|          |2910753         |BATECHNIP SATO 02/2023   |         |          |      534,78-|
| L1SG       |281|2096|M001|10.087.524|Junta anel BX-156 AI-316                |CONS/NAC |CONS/NAC  |                  |4904186873|06.01.2026|         1-|          |                |                         |         |1001494768|      534,78-|
| L1SG       |202|2096|M001|10.087.524|Junta anel BX-156 AI-316                |USADO    |USADO     |                  |4904183246|06.01.2026|         1 |          |                |                         |127927663|          |        0,68 |
| DMSD       |Y21|2096|M001|10.087.524|Junta anel BX-156 AI-316                |USADO    |USADO     |                  |4904123919|02.01.2026|         2-|          |002933928-1     |                         |127844042|          |        0,00 |
| DMSD       |Y21|2096|F4OC|10.087.524|Junta anel BX-156 AI-316                |USADO    |USADO     |                  |4904123919|02.01.2026|         2 |          |002933928-1     |                         |127844042|          |        0,00 |
| SADRCNFEOUT|Y22|2929|0777|10.087.524|Junta anel BX-156 AI-316                |USADO    |USADO     |                  |4904216793|08.01.2026|         1 |          |000003593-1     |GEM SADI 138/2025        |         |          |        0,00 |
| F30B       |201|2929|0777|10.087.524|Junta anel BX-156 AI-316                |USADO    |USADO     |                  |4904218738|08.01.2026|         1-|          |                |ESTORNO SOLICITADO       |         |          |        0,19-|
| SADRCNFEOUT|Y22|2929|M0UB|10.087.524|Junta anel BX-156 AI-316                |USADO    |USADO     |                  |4904216793|08.01.2026|         1-|          |000003593-1     |GEM SADI 138/2025        |         |          |        0,00 |
| F30B       |Y21|2929|M0UB|10.087.524|Junta anel BX-156 AI-316                |USADO    |USADO     |                  |4904202163|07.01.2026|         1 |          |000003593-1     |GEM SADI 138/2025        |         |          |        0,00 |
| F30B       |Y21|2929|0777|10.087.524|Junta anel BX-156 AI-316                |USADO    |USADO     |                  |4904202163|07.01.2026|         1-|          |000003593-1     |GEM SADI 138/2025        |         |          |        0,00 |
| F30B       |202|2929|0777|10.087.524|Junta anel BX-156 AI-316                |USADO    |USADO     |                  |4904201119|07.01.2026|         1 |          |XPE0109543      |GEM SADI 138/2025        |         |          |        0,19 |
| DELM       |Y21|2929|M0UB|10.087.566|Junta anel BX-157 AI-316                |USADO    |USADO     |                  |4904234062|09.01.2026|         1 |          |000003598-1     |BAÇU SATO 040/24         |         |          |        0,00 |
| DELM       |202|2929|0777|10.087.566|Junta anel BX-157 AI-316                |USADO    |USADO     |                  |4904233709|09.01.2026|         1 |          |                |BAÇU SATO 040/24         |         |          |       19,78 |
| DELM       |202|2929|0777|10.087.566|Junta anel BX-157 AI-316                |USADO    |USADO     |                  |4904233709|09.01.2026|         1 |          |                |BAÇU SATO 040/24         |         |          |       19,78 |
| DELM       |Y21|2929|M0UB|10.087.566|Junta anel BX-157 AI-316                |USADO    |USADO     |                  |4904234062|09.01.2026|         1 |          |000003598-1     |BAÇU SATO 040/24         |         |          |        0,00 |
| DELM       |Y21|2929|0777|10.087.566|Junta anel BX-157 AI-316                |USADO    |USADO     |                  |4904234062|09.01.2026|         1-|          |000003598-1     |BAÇU SATO 040/24         |         |          |        0,00 |
| DELM       |Y21|2929|0777|10.087.566|Junta anel BX-157 AI-316                |USADO    |USADO     |                  |4904234062|09.01.2026|         1-|          |000003598-1     |BAÇU SATO 040/24         |         |          |        0,00 |
| R7YE       |311|2096|0777|10.099.080|Cola epóxi Conj. c/ 1,8 Kg              |CONS/NAC |CONS/NAC  |                  |4904218756|08.01.2026|         1 |          |002933972-1     |GEM BAÇU SKOL 174/2025   |         |          |        0,00 |
| F30B       |312|2096|0777|10.099.080|Cola epóxi Conj. c/ 1,8 Kg              |USADO    |USADO     |                  |4904220725|08.01.2026|         1-|          |                |GEM 174/2025             |         |          |        0,00 |
| F30B       |311|2096|0777|10.099.080|Cola epóxi Conj. c/ 1,8 Kg              |USADO    |USADO     |                  |4904220294|08.01.2026|         1 |          |                |GEM 174/2025             |         |          |        0,00 |
| R7YE       |311|2096|F1UB|10.099.080|Cola epóxi Conj. c/ 1,8 Kg              |CONS/NAC |CONS/NAC  |                  |4904218756|08.01.2026|         1-|          |002933972-1     |GEM BAÇU SKOL 174/2025   |         |          |        0,00 |
| F30B       |202|2096|0777|10.099.080|Cola epóxi Conj. c/ 1,8 Kg              |USADO    |USADO     |                  |4904220196|08.01.2026|         1 |          |XPE0106949      |GEM 174/2025             |         |          |        1,00 |
| F30B       |312|2096|0777|10.099.080|Cola epóxi Conj. c/ 1,8 Kg              |USADO    |USADO     |                  |4904220725|08.01.2026|         1 |          |                |GEM 174/2025             |         |          |        0,00 |
| F30B       |311|2096|0777|10.099.080|Cola epóxi Conj. c/ 1,8 Kg              |USADO    |USADO     |                  |4904220294|08.01.2026|         1-|          |                |GEM 174/2025             |         |          |        0,00 |
| F30B       |Y21|2096|0777|10.099.080|Cola epóxi Conj. c/ 1,8 Kg              |USADO    |USADO     |                  |4904221064|08.01.2026|         1-|          |002935618-1     |GEM 174/2025             |         |          |        0,00 |
| F30B       |Y21|2096|F1UB|10.099.080|Cola epóxi Conj. c/ 1,8 Kg              |USADO    |USADO     |                  |4904221064|08.01.2026|         1 |          |002935618-1     |GEM 174/2025             |         |          |        0,00 |
| R7YE       |201|2096|0777|10.099.080|Cola epóxi Conj. c/ 1,8 Kg              |CONS/NAC |CONS/NAC  |                  |4904218757|06.01.2026|         1-|          |XPE0106949      |GEM BAÇU SKOL 174/2025   |         |          |      309,56-|
| F30B       |Y21|2096|F1UB|10.099.080|Cola epóxi Conj. c/ 1,8 Kg              |CONS/NAC |CONS/NAC  |                  |4904127755|02.01.2026|         1 |          |002933972-1     |GEM BAÇU SKOL 174/2025   |         |          |        0,00 |
| F30B       |Y21|2096|0777|10.099.080|Cola epóxi Conj. c/ 1,8 Kg              |CONS/NAC |CONS/NAC  |                  |4904127755|02.01.2026|         1-|          |002933972-1     |GEM BAÇU SKOL 174/2025   |         |          |        0,00 |
| DMSD       |Y21|2096|M001|10.114.308|Linga cabo de aço 13mm x 2m 2t          |USADO    |USADO     |                  |4904123919|02.01.2026|         1-|          |002933928-1     |                         |127844042|          |        0,00 |
| DMSD       |Y21|2096|F4OC|10.114.308|Linga cabo de aço 13mm x 2m 2t          |USADO    |USADO     |                  |4904123919|02.01.2026|         1 |          |002933928-1     |                         |127844042|          |        0,00 |
| GCB4       |202|2914|0017|10.114.308|Linga cabo de aço 13mm x 2m 2t          |CONS/NAC |CONS/NAC  |                  |4904225222|08.01.2026|         2 |          |0180394775      |                         |127384256|          |      230,96 |
| DELM       |202|2914|0777|10.114.620|Linga cabo de aço 32mm x 8,0m 12,7t     |USADO    |USADO     |                  |4904238999|09.01.2026|         1 |          |G WAVE 160/2025 |MAPA WAVE 13/2025        |         |          |        0,50 |
| DELM       |Y21|2914|0777|10.114.620|Linga cabo de aço 32mm x 8,0m 12,7t     |USADO    |USADO     |                  |4904239407|09.01.2026|         1-|          |000206525-1     |GEM BAÇU WAVE 160/202    |         |          |        0,00 |
| DELM       |Y21|2914|F1UB|10.114.620|Linga cabo de aço 32mm x 8,0m 12,7t     |USADO    |USADO     |                  |4904239407|09.01.2026|         1 |          |000206525-1     |GEM BAÇU WAVE 160/202    |         |          |        0,00 |
| F30B       |Y21|2929|M0UB|10.114.620|Linga cabo de aço 32mm x 8,0m 12,7t     |USADO    |USADO     |                  |4904123968|02.01.2026|         1 |          |000003572-1     |GEM BAÇU SKOL 174/2025   |         |          |        0,00 |
| F30B       |Y21|2929|0777|10.114.620|Linga cabo de aço 32mm x 8,0m 12,7t     |USADO    |USADO     |                  |4904123968|02.01.2026|         1-|          |000003572-1     |GEM BAÇU SKOL 174/2025   |         |          |        0,00 |
| G26I       |101|2914|0017|10.115.381|Linga cabo de aço 51mm x 8,0m 32,4t     |CONS/IAMN|CONS/IAMN |                  |5043338642|09.01.2026|        14 |4514813343|20259-001       |32767510                 |         |          |   68.174,10 |
| FKK4       |101|2914|0017|10.115.381|Linga cabo de aço 51mm x 8,0m 32,4t     |CONS/IAMN|CONS/IAMN |                  |5043307815|05.01.2026|         7 |4514783487|20258-001       |                         |         |          |   34.087,04 |
| FB4Q       |311|2096|F1VB|10.124.261|Cabo poliprop. torc 3p DN26mm x 220m    |CONS/NAC |CONS/NAC  |                  |4904240533|09.01.2026|         1-|          |2847425-720     |BAVIT SKOL 06/2025       |         |          |        0,00 |
| FB4Q       |201|2096|F1VB|10.124.261|Cabo poliprop. torc 3p DN26mm x 220m    |USADO    |USADO     |                  |4904240878|09.01.2026|         1-|          |2809152-912     |BAVIT SKOL 06/2025       |         |          |        0,24-|
| FB4Q       |201|2096|F1VB|10.124.261|Cabo poliprop. torc 3p DN26mm x 220m    |USADO    |USADO     |                  |4904240879|09.01.2026|         1-|          |2828571-718     |BAVIT SKOL 06/2025       |         |          |        0,24-|
| FB4Q       |311|2096|0777|10.124.261|Cabo poliprop. torc 3p DN26mm x 220m    |CONS/NAC |CONS/NAC  |                  |4904240533|09.01.2026|         1 |          |2847425-720     |BAVIT SKOL 06/2025       |         |          |        0,00 |
| FB4Q       |862|2096|0777|10.124.261|Cabo poliprop. torc 3p DN26mm x 220m    |CONS/NAC |CONS/NAC  |                  |4904240665|09.01.2026|         1-|4514942086|002935996-1     |                         |         |          |    2.118,82-|
| FR59       |201|2929|M0UB|10.124.261|Cabo poliprop. torc 3p DN26mm x 220m    |CONS/NAC |CONS/NAC  |                  |4904227688|08.01.2026|         1-|          |2911847-PBXPB   |BAÇU SSUN 09/2025        |         |          |    2.029,23-|
| DELM       |202|2096|0777|10.126.233|Cabo poliprop. DN32mm x 220m            |USADO    |USADO     |                  |4904167941|05.01.2026|         2 |          |                |BAVIT GEM SATO-07-144/25 |         |          |        1,07 |
| DELM       |Y21|2096|0777|10.126.233|Cabo poliprop. DN32mm x 220m            |USADO    |USADO     |                  |4904168059|05.01.2026|         2-|          |002934566-1     |BAVIT GEM SATO-07-144/25 |         |          |        0,00 |
| DELM       |Y21|2096|F1VB|10.126.233|Cabo poliprop. DN32mm x 220m            |USADO    |USADO     |                  |4904168059|05.01.2026|         2 |          |002934566-1     |BAVIT GEM SATO-07-144/25 |         |          |        0,00 |
| C60Q       |Y21|2096|F1VB|10.144.365|Graxa lub. bd c/20Kg                    |USADO    |USADO     |                  |4904123096|02.01.2026|     1,000-|          |002933920-1     |RENOVAÇÃO                |         |          |        0,00 |
| C60Q       |Y21|2096|F1VB|10.144.365|Graxa lub. bd c/20Kg                    |USADO    |USADO     |                  |4904123096|02.01.2026|     1,000 |          |002933920-1     |RENOVAÇÃO                |         |          |        0,00 |
| R5HU       |861|2929|M0UB|10.144.365|Graxa lub. bd c/20Kg                    |CONS/NAC |CONS/NAC  |                  |5043334842|09.01.2026|   180,000 |4514863596|002926202-1     |                         |         |          |        0,00 |
| R7YE       |201|2929|0777|10.147.740|Bujão 316 DE 1/2"                       |USADO    |USADO     |                  |4904178044|06.01.2026|         3-|          |000003228-1     |XPE0103432               |         |          |        0,49-|
| R7YE       |311|2929|0777|10.147.740|Bujão 316 DE 1/2"                       |USADO    |USADO     |                  |4904178042|06.01.2026|         3 |          |000003228-1     |XPE0103432               |         |          |        0,00 |
| R7YE       |311|2929|M0UB|10.147.740|Bujão 316 DE 1/2"                       |USADO    |USADO     |                  |4904178042|06.01.2026|         3-|          |000003228-1     |XPE0103432               |         |          |        0,00 |
